date,compound,positive,negative,neutral
2021-08-23,0.4215,0.098,0.0,0.902
2021-09-07,0.1779,0.052,0.0,0.948
2021-09-07,0.128,0.046,0.0,0.954
2021-08-19,0.6187,0.153,0.0,0.847
2021-08-23,0.6908,0.161,0.0,0.839
2021-08-25,-0.296,0.053,0.114,0.833
2021-09-07,0.2023,0.074,0.054,0.872
2021-09-05,0.0,0.0,0.0,1.0
2021-09-07,0.0,0.0,0.0,1.0
2021-08-23,0.4215,0.095,0.0,0.905
2021-08-18,0.5106,0.096,0.0,0.904
2021-09-07,0.128,0.049,0.0,0.951
2021-08-27,0.0516,0.048,0.043,0.909
2021-08-27,0.0516,0.048,0.043,0.909
2021-09-07,0.128,0.049,0.0,0.951
2021-08-31,0.4019,0.083,0.0,0.917
2021-09-07,-0.5719,0.0,0.115,0.885
2021-09-07,-0.2023,0.038,0.06,0.902
2021-08-15,0.0,0.0,0.0,1.0
2021-08-24,0.2263,0.094,0.0,0.906
2021-09-08,0.0,0.0,0.0,1.0
2021-09-05,0.0,0.0,0.0,1.0
2021-09-05,0.0,0.0,0.0,1.0
2021-08-20,0.0,0.0,0.0,1.0
2021-08-20,0.6808,0.157,0.0,0.843
2021-08-18,-0.5859,0.0,0.138,0.862
2021-09-07,0.2732,0.065,0.0,0.935
2021-09-07,0.0,0.0,0.0,1.0
2021-09-07,0.128,0.045,0.0,0.955
2021-09-02,0.0,0.0,0.0,1.0
2021-09-06,0.8116,0.213,0.0,0.787
2021-09-10,0.4939,0.11,0.0,0.89
2021-09-08,-0.4019,0.103,0.147,0.749
2021-08-23,0.0,0.0,0.0,1.0
2021-09-09,0.4201,0.08,0.0,0.92
2021-09-03,0.0,0.0,0.0,1.0
2021-09-06,-0.34,0.0,0.07,0.93
2021-09-13,0.0,0.0,0.0,1.0
2021-08-24,0.7184,0.2,0.0,0.8
2021-09-08,0.0258,0.102,0.075,0.823
2021-09-08,-0.6542,0.116,0.176,0.708
2021-09-10,0.128,0.043,0.0,0.957
2021-08-24,0.1531,0.064,0.046,0.89
2021-09-07,-0.3818,0.095,0.14,0.765
2021-09-07,-0.128,0.041,0.055,0.904
2021-09-02,-0.4588,0.042,0.125,0.833
2021-09-08,-0.7579,0.039,0.208,0.753
2021-09-10,-0.1531,0.0,0.046,0.954
2021-09-09,0.0644,0.034,0.0,0.966
2021-09-02,-0.2023,0.0,0.053,0.947
2021-09-07,0.34,0.084,0.042,0.873
2021-08-22,0.1779,0.049,0.0,0.951
2021-09-08,0.0,0.0,0.0,1.0
2021-09-07,0.2732,0.063,0.0,0.937
2021-09-08,0.34,0.07,0.0,0.93
2021-08-26,0.34,0.072,0.0,0.928
2021-08-15,-0.5574,0.0,0.133,0.867
2021-09-01,0.0,0.0,0.0,1.0
2021-09-06,0.7469,0.18,0.0,0.82
2021-08-23,0.0,0.0,0.0,1.0
2021-09-09,0.4767,0.105,0.0,0.895
2021-08-24,0.4019,0.155,0.058,0.787
2021-09-07,0.0,0.093,0.064,0.843
2021-08-31,0.0,0.0,0.0,1.0
2021-08-24,0.0,0.0,0.0,1.0
2021-09-08,0.765,0.192,0.0,0.808
2021-09-10,0.0,0.0,0.0,1.0
2021-08-25,0.4404,0.136,0.0,0.864
2021-08-24,-0.296,0.0,0.071,0.929
2021-08-22,0.2263,0.061,0.0,0.939
2021-09-01,-0.5106,0.044,0.14,0.816
2021-09-08,0.0772,0.106,0.072,0.822
2021-09-07,0.5106,0.137,0.0,0.863
2021-08-24,0.4019,0.159,0.059,0.782
2021-09-08,0.3818,0.118,0.0,0.882
2021-09-09,0.128,0.046,0.0,0.954
2021-09-07,0.0,0.0,0.0,1.0
2021-08-24,0.3182,0.076,0.0,0.924
2021-09-08,0.0,0.0,0.0,1.0
2021-09-13,0.0,0.0,0.0,1.0
2021-08-17,0.4754,0.091,0.0,0.909
2021-08-31,0.2732,0.117,0.089,0.794
2021-08-23,-0.34,0.055,0.101,0.844
2021-08-28,0.2732,0.062,0.0,0.938
2021-09-10,0.6486,0.15,0.0,0.85
2021-09-10,0.0772,0.063,0.054,0.883
2021-09-13,0.34,0.074,0.0,0.926
2021-08-29,0.2732,0.062,0.0,0.938
2021-08-18,-0.3818,0.0,0.077,0.923
2021-09-10,0.7003,0.182,0.0,0.818
2021-08-31,-0.3182,0.03,0.066,0.904
2021-08-30,0.0,0.0,0.0,1.0
2021-08-24,-0.8934,0.0,0.312,0.688
2021-09-07,0.1027,0.206,0.172,0.622
2021-08-22,0.5106,0.118,0.0,0.882
2021-08-20,-0.34,0.0,0.074,0.926
2021-09-05,0.765,0.202,0.0,0.798
2021-09-06,0.34,0.08,0.04,0.881
2021-08-25,0.0,0.0,0.0,1.0
2021-09-07,0.0,0.0,0.0,1.0
