,date,text,compound,positive,negative,neutral
0,2021-08-23,"PayPal will now allow users outside the U.S. to buy, hold and sell cryptocurrency for the first time. The company announced today the launch of a new service that will allow customers in the U.K. to … [+4420 chars]",0.4215,0.098,0.0,0.902
1,2021-08-23,"PayPal is bringing the ability to buy, hold and sell cryptocurrencies across to the other side of the pond, the better part of a year after it launched in the US. In a statement, the company said tha… [+850 chars]",0.6908,0.161,0.0,0.839
2,2021-08-23,"PayPal is to allow users in the UK to buy, hold and sell cryptocurrencies through the payment platform for the first time.
The firm said it would allow customers to choose from four types of cryptoc… [+3160 chars]",0.4215,0.095,0.0,0.905
3,2021-08-24,"PayPal launched its crypto services in the UKits first international crypto expansion, according to a press release.
PayPal's total payment volume reached $311 billion in Q2 2021.
Insider Intellige… [+2125 chars]",0.2263,0.094,0.0,0.906
4,2021-09-13,"""Don't worry about people stealing your ideas. If your ideas are any good, 
you'll have to ram them down people's throats.""
 -- Howard Aiken",0.1546,0.177,0.123,0.7
5,2021-09-07,"Andrew Kelly/Reuters
<ul><li>Bitcoin and ether plummeted on Tuesday, the same day El Salvador adopted the crypto as legal tender.</li><li>The popular cryptocurrency fell from a high of about $52,000… [+1835 chars]",0.5106,0.137,0.0,0.863
6,2021-09-13,"Editor's Note: With so much market volatility, stay on top of daily news! Get caught up in minutes with our speedy summary of today's must-read news and expert opinions. Sign up here! 
(Kitco News) … [+3862 chars]",0.3365,0.064,0.0,0.936
7,2021-09-13,"The old adage of dont believe everything you read hit Walmart hard today after a fake press release was published by sources pretending to be the company.
The fake release, which was sent out by Glo… [+1542 chars]",-0.7351,0.033,0.181,0.786
8,2021-08-23,"August
23, 2021
2 min read
After a months-long slump, Bitcoin finally surged above $50,000 Sunday night for the first time since mid-May. 
Bitcoin saw smaller surges in that time. At the end of J… [+1234 chars]",0.0,0.0,0.0,1.0
9,2021-08-22,"A smartphone with the PayPal logo is placed on a laptop in this illustration taken on July 14, 2021. REUTERS/Dado Ruvic/IllustrationLONDON, Aug 23 (Reuters) - PayPal Holdings Inc (PYPL.O) will allow … [+1901 chars]",0.2263,0.061,0.0,0.939
10,2021-09-13,"A representations of cryptocurrency Bitcoin and Binance is seen in this illustration taken August 6, 2021. REUTERS/Dado Ruvic/IllustrationNEW YORK, Sept 13 (Reuters) - Interactive Brokers Group (IBKR… [+1607 chars]",0.0,0.0,0.0,1.0
11,2021-09-10,"Grayscale Investments runs the largest cryptocurrency fund, Grayscale Bitcoin Trust.
Yuriko Nakao
Three products from Grayscale Investments, the largest digital asset manager, that give investors e… [+1606 chars]",0.7003,0.182,0.0,0.818
12,2021-09-07,"Coinbase and Bitcoin
SOPA images
Coinbase fell as much as 6% on Tuesday amid an ongoing service outage that led to crypto transactions being delayed or canceled.
The outage, according to Coinbase,… [+1089 chars]",-0.2263,0.0,0.054,0.946
13,2021-09-03,"Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, Litecoin are placed on PC motherboard in this illustration taken, June 29, 2021. REUTERS/Dado Ruvic/Illustration NEW YORK, Sep… [+2712 chars]",0.0,0.0,0.0,1.0
14,2021-08-24,"Its the weirdest cryptocurrency heist so far. On Monday, Poly Network, a cryptocurrency finance platform, was hacked by Mr. White Hat who exploited a vulnerability in its code to steal $610 million i… [+6649 chars]",-0.8934,0.0,0.312,0.688
15,2021-09-03,"By Reuters Staff
Representations of cryptocurrencies Bitcoin, Ethereum, DogeCoin, Ripple, Litecoin are placed on PC motherboard in this illustration taken June 29, 2021. REUTERS/Dado Ruvic/Illustrat… [+1168 chars]",0.0,0.0,0.0,1.0
16,2021-08-23,"Jerome Powell, chair of the Federal Reserve.
Pool/Getty Images
US stocks rebounded from last week's losses and moved higher on Monday, ahead of a key policy meeting from the Federal Reserve.
Fed C… [+1576 chars]",-0.4019,0.0,0.076,0.924
